SentimentDate,Subject,AvgRawSentiment,NormalizedSentimentScore
2024-11-17,deb fischer,,
2024-11-17,evan bayh,,
2024-11-17,jacky rosen,,
2024-11-17,john barrasso,,
2024-11-17,jon tester,,
2024-11-17,laphonza butler,,
2024-11-18,bob corker,,
2024-11-18,deb fischer,,
2024-11-18,evan bayh,,
2024-11-18,jacky rosen,,
2024-11-18,jerry moran,,
2024-11-18,jon tester,,
2024-11-18,laphonza butler,,
2024-11-19,chris coons,,
2024-11-19,deb fischer,,
2024-11-19,evan bayh,,
2024-11-19,jacky rosen,,
2024-11-19,jim risch,,
2024-11-19,john barrasso,,
2024-11-19,jon tester,,
2024-11-19,kyrsten sinema,,
2024-11-19,lincoln chafee,,
2024-11-19,martin heinrich,,
2024-11-19,steve daines,,
2024-11-20,chris coons,,
2024-11-20,deb fischer,,
2024-11-20,evan bayh,,
2024-11-20,kyrsten sinema,,
2024-11-20,martin heinrich,,
2024-11-20,roger wicker,,
2024-11-20,steve daines,,
2024-11-21,bob corker,,
2024-11-21,deb fischer,,
2024-11-21,evan bayh,,
2024-11-21,jacky rosen,,
2024-11-21,jim risch,,
2024-11-21,jon tester,,
2024-11-21,kyrsten sinema,,
2024-11-21,martin heinrich,,
2024-11-21,mazie hirono,,
2024-11-22,alex mooney,,
2024-11-22,chris coons,,
2024-11-22,dave mccormick,,
2024-11-22,deb fischer,,
2024-11-22,jerry moran,,
2024-11-22,jon tester,,
2024-11-22,kyrsten sinema,,
2024-11-22,martin heinrich,,
2024-11-22,mazie hirono,,
2024-11-22,steve daines,,
2024-11-22,ted budd,,
2024-11-23,alex mooney,,
2024-11-23,dave mccormick,,
2024-11-23,deb fischer,,
2024-11-23,dianne feinstein,,
2024-11-23,jon tester,,
2024-11-23,kyrsten sinema,,
2024-11-23,steve daines,,
2024-11-23,ted budd,,
2024-11-24,dave mccormick,,
2024-11-24,dianne feinstein,,
2024-11-24,evan bayh,,
2024-11-24,john hickenlooper,,
2024-11-24,jon tester,,
2024-11-24,kyrsten sinema,,
2024-11-24,martin heinrich,,
2024-11-24,steve daines,,
2024-11-25,chris coons,,
2024-11-25,dave mccormick,,
2024-11-25,james lankford,,
2024-11-25,jon tester,,
2024-11-25,pete ricketts,,
2024-11-25,steve daines,,
2024-11-26,alex mooney,,
2024-11-26,chris coons,,
2024-11-26,cindy hyde-smith,,
2024-11-26,dianne feinstein,,
2024-11-26,jim risch,,
2024-11-26,jon tester,,
2024-11-26,kyrsten sinema,,
2024-11-26,roger wicker,,
2024-11-27,chris coons,,
2024-11-27,dianne feinstein,,
2024-11-27,james lankford,,
2024-11-27,jim risch,,
2024-11-27,jon tester,,
2024-11-27,kyrsten sinema,,
2024-11-27,maria cantwell,,
2024-11-27,martin heinrich,,
2024-11-27,pete ricketts,,
2024-11-28,chris coons,,
2024-11-28,dianne feinstein,,
2024-11-28,jerry moran,,
2024-11-28,jim risch,,
2024-11-28,steve daines,,
2024-11-29,chris coons,,
2024-11-29,dave mccormick,,
2024-11-29,jacky rosen,,
2024-11-29,kyrsten sinema,,
2024-11-29,martin heinrich,,
2024-11-29,steve daines,,
2024-11-30,dave mccormick,,
2024-11-30,john hickenlooper,,
2024-11-30,steve daines,,
2024-12-01,chris coons,,
2024-12-01,james lankford,,
2024-12-01,kyrsten sinema,,
2024-12-01,martin heinrich,,
2024-12-01,pete ricketts,,
2024-12-02,deb fischer,,
2024-12-02,evan bayh,,
2024-12-02,jerry moran,,
2024-12-02,jon tester,,
2024-12-02,martin heinrich,,
2024-12-02,pete ricketts,,
2024-12-03,evan bayh,,
2024-12-03,jon tester,,
2024-12-03,lincoln chafee,,
2024-12-03,roger wicker,,
2024-12-04,evan bayh,,
2024-12-04,kyrsten sinema,,
2024-12-04,lincoln chafee,,
2024-12-04,maria cantwell,,
2024-12-04,ted budd,,
2024-12-05,eric schmitt,,
2024-12-05,evan bayh,,
2024-12-05,lincoln chafee,,
2024-12-05,maria cantwell,,
2024-12-05,martin heinrich,,
2024-12-06,dave mccormick,,
2024-12-06,evan bayh,,
2024-12-06,jacky rosen,,
